"Elapsed.Time","Heart.Rate.PulseOx1","PPG.PulseOx1","SpO2.PulseOx1","BioRadio.Event","X","ID","undetrended"
"00:00:00.504",67,80.5603103637695,96,0,NA,39,82.3286025524139
"00:00:00.516",67,80.5383377075195,96,0,NA,40,82.3241395950317
"00:00:00.532",67,80.6579666137695,96,0,NA,41,82.4605915546417
"00:00:00.544",67,80.8703765869141,96,0,NA,42,82.6935629844666
"00:00:00.556",67,81.1096343994141,96,0,NA,43,82.9600200653077
"00:00:00.572",67,81.3220443725586,96,0,NA,44,83.2071061134338
"00:00:00.584",67,81.4636459350586,96,0,NA,45,83.3900215625763
"00:00:00.596",67,81.5075912475586,96,0,NA,46,83.4797058105469
"00:00:00.612",67,81.4392318725586,96,0,NA,47,83.4584586620331
"00:00:00.624",67,81.2610092163086,96,0,NA,48,83.3252120018005
"00:00:00.636",67,80.9948883056641,96,0,NA,49,83.0984976291657
"00:00:00.652",67,80.6604080200195,96,0,NA,50,82.7951076030731
"00:00:00.664",67,80.2819900512695,96,0,NA,51,82.4373273849487
"00:00:00.676",67,79.884033203125,96,0,NA,52,82.0481827259064
"00:00:00.692",67,79.4909591674805,96,0,NA,53,81.6514847278595
"00:00:00.704",67,79.1100921630859,96,0,NA,54,81.2547101974487
"00:00:00.716",67,78.7560882568359,96,0,NA,55,80.8728966712951
"00:00:00.732",67,78.4313735961914,96,0,NA,56,80.5093097686768
"00:00:00.744",67,78.1335144042969,96,0,NA,57,80.1624310016632
"00:00:00.756",67,77.8625183105469,96,0,NA,58,79.8331072330475
"00:00:00.772",67,77.6159286499023,96,0,NA,59,79.5197212696075
"00:00:00.784",67,77.3962020874023,96,0,NA,60,79.2254924774169
"00:00:00.796",67,77.1984405517578,96,0,NA,61,78.9463622570038
"00:00:00.812",67,77.0299835205078,96,0,NA,62,78.6903564929962
"00:00:00.824",67,76.8908233642578,96,0,NA,63,78.4583833217621
"00:00:00.836",67,76.7809600830078,96,0,NA,64,78.2513582706451
"00:00:00.852",67,76.6906204223633,96,0,NA,65,78.0604236125946
"00:00:00.864",67,76.6173782348633,96,0,NA,66,77.8837633132935
"00:00:00.876",67,76.5539016723633,96,0,NA,67,77.7145798206329
"00:00:00.892",67,76.5001907348633,96,0,NA,68,77.5531783103943
"00:00:00.904",67,76.4489212036133,96,0,NA,69,77.3925397396088
"00:00:00.916",67,76.4147415161133,96,0,NA,70,77.2473888397217
"00:00:00.932",67,76.3976516723633,96,0,NA,71,77.1182596683502
"00:00:00.948",67,76.3976516723633,96,0,NA,71,77.0056862831116
"00:00:00.956",67,76.4098587036133,96,0,NA,72,76.9053199291229
"00:00:00.972",67,76.4293899536133,96,0,NA,73,76.8126592636109
"00:00:00.984",67,76.4440383911133,96,0,NA,74,76.7157261371613
"00:00:00.996",67,76.4464797973633,96,0,NA,75,76.6070437431336
"00:00:01.012",67,76.4586868286133,96,0,NA,76,76.5082032680512
"00:00:01.024",67,76.5441360473633,96,0,NA,77,76.4829864501953
"00:00:01.036",67,76.8224639892578,96,0,NA,78,76.6533186435699
"00:00:01.052",67,77.4303817749023,96,0,NA,79,77.1619384288787
"00:00:01.064",67,78.4679946899414,96,0,NA,80,78.1192507743835
"00:00:01.076",67,79.964599609375,96,0,NA,81,79.5679805278778
"00:00:01.092",67,81.8371887207031,96,0,NA,82,81.4394633769989
"00:00:01.104",67,83.8977661132813,96,0,NA,83,83.5574529170991
"00:00:01.116",67,85.9217224121094,96,0,NA,84,85.7032144069672
"00:00:01.132",67,87.696647644043,96,0,NA,85,87.6631934642792
"00:00:01.144",67,89.0589752197266,96,0,NA,86,89.2660412788392
