Elapsed Time,Heart Rate PulseOx1,PPG PulseOx1,SpO2 PulseOx1,BioRadio Event,
00:00:00.372,76,74.3443984985352,98,0,
00:00:00.376,76,74.3443984985352,98,0,
00:00:00.38,76,74.3443984985352,98,0,
00:00:00.384,76,74.1173400878906,98,0,
00:00:00.388,76,74.1173400878906,98,0,
00:00:00.392,76,74.1173400878906,98,0,
00:00:00.396,76,73.9366760253906,98,0,
00:00:00.4,76,73.9366760253906,98,0,
00:00:00.404,76,73.9366760253906,98,0,
00:00:00.408,76,73.7975158691406,98,0,
00:00:00.412,76,73.7975158691406,98,0,
00:00:00.416,76,73.7975158691406,98,0,
00:00:00.42,76,73.7975158691406,98,0,
00:00:00.424,76,73.6852035522461,98,0,
00:00:00.428,76,73.6852035522461,98,0,
00:00:00.432,76,73.6852035522461,98,0,
00:00:00.436,76,73.5973129272461,98,0,
00:00:00.44,76,73.5973129272461,98,0,
00:00:00.444,76,73.5973129272461,98,0,
00:00:00.448,76,73.5289535522461,98,0,
00:00:00.452,76,73.5289535522461,98,0,
00:00:00.456,76,73.5289535522461,98,0,
00:00:00.46,76,73.5289535522461,98,0,
00:00:00.464,76,73.4728012084961,98,0,
00:00:00.468,76,73.4728012084961,98,0,
00:00:00.472,76,73.4728012084961,98,0,
00:00:00.476,76,73.4190902709961,98,0,
00:00:00.48,76,73.4190902709961,98,0,
00:00:00.484,76,73.4190902709961,98,0,
00:00:00.488,76,73.3653793334961,98,0,
00:00:00.492,76,73.3653793334961,98,0,
00:00:00.496,76,73.3653793334961,98,0,
00:00:00.5,76,73.3653793334961,98,0,
00:00:00.504,76,73.3116683959961,98,0,
00:00:00.508,76,73.3116683959961,98,0,
00:00:00.512,76,73.3116683959961,98,0,
00:00:00.516,76,73.2579574584961,98,0,
00:00:00.52,76,73.2579574584961,98,0,
00:00:00.524,76,73.2579574584961,98,0,
00:00:00.528,76,73.2213287353516,98,0,
00:00:00.532,76,73.2213287353516,98,0,
00:00:00.536,76,73.2213287353516,98,0,
00:00:00.54,76,73.2213287353516,98,0,
00:00:00.544,76,73.2335357666016,98,0,
00:00:00.548,76,73.2335357666016,98,0,
00:00:00.552,76,73.2335357666016,98,0,
00:00:00.556,76,73.3897933959961,98,0,
00:00:00.56,76,73.3897933959961,98,0,
00:00:00.564,76,73.3897933959961,98,0,
00:00:00.568,76,73.8072814941406,98,0,
00:00:00.572,76,73.8072814941406,98,0,
00:00:00.576,76,73.8072814941406,98,0,
