PPG PulseOx1, RIPResp1, Heart Rate PulseOx1, Temperature Sensor 1, RIPResp2, SpO2 PulseOx1, Pulse d(Trace)/dt, Pulse d2(Trace)/dt2, Pulse Rate (BPM), d(Pulse Rate)/dt (BPMPM), Pulse Interval (ms), Pulse RMSSD (ms), Pulse SDNN (BPM), Pulse P50 (%), Smoothed RIP Resp1, Smoothed RIP Resp2, Breathing Rate (BPM), d(Breathing Rate)/dt (BPMPM), Interval (s), Inspiration (%), d(Inspiration)/dt (%PM), Breathing RMSSD (s), Breathing SDNN (BPM)
81.25857,-0.01798895,61,23.966816,-0.011774048,98,1.142601,0.12695313,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017238107,-0.010922769,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
82.40116,-0.020511433,61,23.989363,-0.014174625,98,1.1425934,-1.5258789E-05,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017227096,-0.010914552,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
82.40116,-0.018616565,61,24.011908,-0.01219064,98,1.1425934,-1.5258789E-05,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017225942,-0.010916198,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
82.40116,-0.014477424,61,23.92172,-0.008150496,98,1.1425934,-1.5258789E-05,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017221257,-0.010914191,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
83.38262,-0.014432207,61,23.989363,-0.008215092,98,0.9814606,-0.16113281,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017205317,-0.010900981,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
83.38262,-0.017872185,61,24.056995,-0.011674225,98,0.9814606,-0.16113281,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017181963,-0.010881016,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
83.38262,-0.020453095,61,23.966816,-0.014133029,98,0.9814606,-0.16113281,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017170295,-0.0108726965,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
83.38262,-0.01859238,61,23.966816,-0.012182973,98,0.9814606,-0.16113281,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017165458,-0.010871164,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.09064,-0.014444992,61,23.966816,-0.00813324,98,0.70801544,-0.27345276,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017158972,-0.010867712,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.09064,-0.014339335,61,23.94427,-0.008138314,98,0.70801544,-0.27345276,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017140398,-0.010852356,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.09064,-0.017746523,61,24.03445,-0.011568122,98,0.70801544,-0.27345276,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017115265,-0.010831135,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.48371,-0.020380184,61,23.966816,-0.014079452,98,0.39307404,-0.3149414,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017100682,-0.01082042,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.48371,-0.018561311,61,23.92172,-0.012171194,98,0.39307404,-0.3149414,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017094469,-0.010818064,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.48371,-0.014404714,61,24.011908,-0.008112051,98,0.39307404,-0.3149414,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017086415,-0.010813827,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.58137,-0.014244027,61,23.966816,-0.008064486,98,0.09765625,-0.29542542,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017067352,-0.010799061,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.58137,-0.017602287,61,23.966816,-0.01144854,98,0.09765625,-0.29542542,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017038506,-0.010775144,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.58137,-0.020286866,61,24.03445,-0.014011927,98,0.09765625,-0.29542542,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017019842,-0.01076164,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.58137,-0.018514507,61,23.94427,-0.012151502,98,0.09765625,-0.29542542,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.01701048,-0.0107577015,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.40803,-0.014360301,61,23.94427,-0.008095041,98,-0.17333984,-0.2709961,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.017001597,-0.010754299,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.40803,-0.014125764,61,24.011908,-0.007975705,98,-0.17333984,-0.2709961,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016977945,-0.010736543,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.40803,-0.01744596,61,23.989363,-0.011325449,98,-0.17333984,-0.2709961,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016946679,-0.010711925,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.02228,-0.020185791,61,23.966816,-0.013945565,98,-0.38574982,-0.2124176,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016926466,-0.010698653,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.02228,-0.018456012,61,24.011908,-0.012129039,98,-0.38574982,-0.2124176,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016914766,-0.01069416,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.02228,-0.014286853,61,23.94427,-0.008057781,98,-0.38574982,-0.2124176,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016900076,-0.010686708,19.77014,16.365133,1.7937491,52.876938,53.114193,1.7766696,11.305182
84.02228,-0.013995208,61,23.966816,-0.007883325,98,-0.38574982,-0.2124176,56.23473,-47.11464,1019.24884,42.06223,3.644034,11.111112,-0.016873965,-0.010668232,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
